number of threads, avg. time per generation, avg. time per cell, gen per second, cell per second, total execution time
1, 476.435, 406.214, 0.759177, 0.759177, 6586.08
2, 342.78, 242.774, 0.834229, 1.66846, 5993.56
3, 294.185, 4.20676, 0.857304, 129.796, 5832.24
4, 310.784, 182.715, 0.841167, 3.36467, 5944.12
5, 342.161, 207.459, 0.796017, 3.98008, 6281.28
6, 343.782, 21.1863, 0.789056, 49.3949, 6336.69
7, 338.401, 11.712, 0.785625, 107.159, 6364.36
8, 343.19, 200.246, 0.801482, 6.41185, 6238.45
9, 320.747, 101.374, 0.817203, 13.8924, 6118.43
10, 321.877, 182.988, 0.833375, 8.33375, 5999.7
11, 302.275, 31.2042, 0.782602, 50.5561, 6388.94
12, 313.431, 19.0539, 0.802978, 97.9633, 6226.82
13, 341.776, 22.1641, 0.789674, 96.4981, 6331.73
14, 328.709, 128.836, 0.817818, 17.1742, 6113.83
15, 355.076, 34.6833, 0.786587, 64.0282, 6356.58
16, 402.118, 43.8649, 0.768445, 51.4858, 6506.64
17, 389.785, 134.209, 0.734882, 15.5795, 6803.81
18, 373.341, 123.945, 0.760023, 17.3285, 6578.75
19, 388.601, 51.5964, 0.769296, 47.6964, 6499.45
20, 382.789, 172.672, 0.770503, 15.4101, 6489.27
21, 445.697, 155.696, 0.726021, 17.5697, 6886.86
22, 412.222, 39.6033, 0.694302, 75.1234, 7201.48
23, 504.575, 49.6812, 0.695307, 59.7964, 7191.06
24, 458.797, 42.4244, 0.710399, 77.1494, 7038.3
25, 442.837, 207.323, 0.717039, 17.926, 6973.12
26, 532.347, 137.849, 0.673296, 25.0466, 7426.16
27, 541.812, 30.9618, 0.651044, 112.11, 7679.98
28, 602.823, 109.602, 0.629961, 26.9623, 7937
29, 590.922, 131.262, 0.645523, 29.565, 7745.65
30, 577.102, 44.5932, 0.623794, 95.9395, 8015.47
31, 458.633, 75.2, 0.658876, 56.7952, 7588.68
32, 738.853, 59.138, 0.583808, 62.1172, 8564.46
33, 589.437, 67.4697, 0.633724, 67.5549, 7889.87
34, 642.272, 81.2262, 0.581802, 50.5004, 8593.98
35, 603.757, 48.5311, 0.624122, 96.6141, 8011.25
36, 639.297, 147.248, 0.582218, 27.4807, 8587.85
37, 673.057, 145.829, 0.580378, 27.3939, 8615.07
38, 726.53, 15.7356, 0.571639, 461.656, 8746.78
39, 580.606, 46.1375, 0.608193, 106.191, 8221.07
40, 638.331, 189.72, 0.599977, 23.9991, 8333.65
41, 680.112, 197.617, 0.575633, 23.0253, 8686.09
42, 705.205, 84.322, 0.564523, 54.1942, 8857.04
43, 788.785, 79.6796, 0.53131, 51.0057, 9410.7
44, 693.91, 98.2568, 0.540439, 47.0182, 9251.74
45, 607.801, 106.277, 0.663355, 57.7119, 7537.44
46, 561.333, 90.7328, 0.776062, 69.2247, 6442.78
47, 525.001, 94.3743, 0.787377, 70.234, 6350.2
48, 593.098, 64.0982, 0.738249, 104.684, 6772.78
49, 551.477, 63.023, 0.763351, 108.243, 6550.06
50, 543.882, 164.142, 0.789258, 39.4629, 6335.06
51, 614.258, 171.555, 0.735143, 36.7572, 6801.4
52, 553.178, 131.868, 0.77716, 38.858, 6433.69
53, 671.604, 51.4069, 0.693543, 123.035, 7209.35
54, 741.996, 55.7096, 0.665867, 118.125, 7509.01
55, 743.026, 59.0093, 0.656859, 116.527, 7611.99
56, 730.142, 92.0889, 0.770662, 70.2844, 6487.93
57, 720.484, 89.767, 0.691932, 63.1042, 7226.14
58, 773.809, 92.335, 0.653494, 59.5986, 7651.18
59, 709.01, 61.0997, 0.702653, 112.143, 7115.89
60, 516.126, 56.6511, 0.810331, 129.329, 6170.32
61, 485.506, 69.7104, 0.812209, 129.629, 6156.05
62, 615.623, 56.2981, 0.701814, 112.01, 7124.39
63, 583.238, 78.3138, 0.78886, 88.8257, 6338.26
64, 730.186, 82.4673, 0.635292, 71.5339, 7870.4
