number of threads, avg. time per generation, avg. time per cell, gen per second, cell per second, total execution time
1, 0.169309, 0.118562, 5684.85, 5684.85, 17.5906
2, 0.375104, 0.0183236, 2531.12, 47256, 39.5083
3, 0.139286, 0.0145796, 6864.41, 126511, 14.5679
4, 0.14292, 0.0140452, 6699.11, 124537, 14.9273
5, 0.174454, 0.0160981, 5492.22, 102924, 18.2076
6, 0.195316, 0.0178356, 4901.46, 91853.3, 20.4021
7, 0.2087, 0.0155568, 4642.76, 87655.2, 21.5389
8, 0.401384, 0.0189787, 2439.24, 46052.8, 40.9964
9, 0.331261, 0.0146484, 2908.16, 54906.1, 34.386
10, 0.424592, 0.0157722, 2234.85, 42261, 44.7458
11, 0.33681, 0.013978, 2859.28, 54069, 34.9738
12, 0.680353, 0.0205299, 1411.76, 26696.4, 70.8335
13, 0.508537, 0.0183005, 1919.99, 36307.1, 52.0835
14, 0.633193, 0.0164225, 1511.99, 28591.7, 66.138
15, 0.799262, 0.0205101, 1232.34, 23303.5, 81.1465
16, 0.769049, 0.0236182, 1262.81, 23879.8, 79.1884
17, 0.831685, 0.0159718, 1172.15, 22165.3, 85.3136
18, 0.831128, 0.0157632, 1162.77, 21988.1, 86.0013
19, 0.825838, 0.0359399, 1167.56, 22183.7, 85.6483
20, 0.565235, 0.0157142, 1699.33, 32287.4, 58.8466
21, 0.53813, 0.0146543, 1737.21, 33006.9, 57.5637
22, 0.930594, 0.0259151, 1039.56, 19751.6, 96.1946
23, 0.740982, 0.0200345, 1304.68, 24789, 76.6469
24, 0.722371, 0.0188934, 1335.5, 25374.5, 74.8785
25, 0.938693, 0.0184232, 1024.78, 19470.9, 97.5815
26, 0.900379, 0.0273293, 1089.26, 20696, 91.8052
27, 0.471524, 0.016543, 2019.09, 38362.8, 49.5272
28, 0.665976, 0.0147737, 1362.64, 25890.1, 73.3871
29, 0.808826, 0.0207677, 1211.42, 23017, 82.5476
30, 0.412331, 0.0162779, 2143.33, 40723.2, 46.6564
31, 0.981087, 0.030978, 945.012, 17955.2, 105.819
32, 0.95932, 0.0295608, 1022.3, 19423.7, 97.8187
33, 0.825973, 0.0157343, 1169.11, 22213.1, 85.5353
34, 0.71493, 0.0189141, 1372.85, 26084.1, 72.8414
35, 0.860882, 0.0215625, 1115.58, 21196, 89.6397
36, 1.06551, 0.0285474, 924.904, 17573.2, 108.119
37, 0.992175, 0.027783, 976.862, 18560.4, 102.369
38, 0.930228, 0.0311652, 1040.1, 19761.9, 96.1446
39, 0.992944, 0.0349539, 987.277, 18758.3, 101.289
40, 0.385679, 0.0153732, 2454.4, 46633.6, 40.7432
41, 0.721792, 0.021943, 1345.06, 25556.1, 74.3463
42, 0.411174, 0.0146737, 2385.03, 45315.6, 41.9281
43, 0.521369, 0.0157788, 1874.92, 35623.5, 53.3356
44, 0.605177, 0.0159491, 1566.79, 29769.1, 63.8247
45, 0.793425, 0.0187908, 1220.1, 23181.8, 81.9608
46, 0.413321, 0.0170788, 2279.35, 43307.7, 43.8721
47, 0.750645, 0.0160181, 1294.19, 24589.6, 77.2684
48, 1.00004, 0.037873, 954.626, 18137.9, 104.753
49, 0.984647, 0.0310757, 895.402, 17012.6, 111.682
50, 0.51016, 0.0156338, 1854.24, 35230.5, 53.9305
51, 0.591606, 0.0161914, 1586.34, 30140.4, 63.0382
52, 0.726264, 0.0179094, 1318.85, 25058.1, 75.8239
53, 0.692408, 0.0185719, 1407.22, 26737.1, 71.0623
54, 1.10182, 0.0312295, 870.048, 16530.9, 114.936
55, 0.987143, 0.0178888, 1001.78, 19033.8, 99.8222
56, 0.852408, 0.0155577, 1147.6, 21804.4, 87.1385
57, 0.534005, 0.0155533, 1748.82, 33227.6, 57.1813
58, 0.64453, 0.0193203, 1466.54, 27864.2, 68.1878
59, 0.966555, 0.021724, 1013.42, 19255, 98.6757
60, 0.802819, 0.0152894, 1205.43, 22903.3, 82.9576
61, 0.968704, 0.0207841, 1016.77, 19318.7, 98.3503
62, 0.87446, 0.0250566, 1085.31, 20620.9, 92.1395
63, 0.763254, 0.0221112, 1277.86, 24279.4, 78.2556
64, 0.981766, 0.0200473, 970.292, 18435.6, 103.062
