number of threads, avg. time per generation, avg. time per cell, gen per second, cell per second, total execution time
1, 2.1766, 1.85898, 454.344, 454.344, 220.098
2, 1.48276, 1.09051, 640.851, 1281.7, 156.042
3, 1.38844, 0.176687, 707.724, 11146.7, 141.298
4, 1.56197, 0.65075, 630.208, 2520.83, 158.678
5, 1.53172, 0.206627, 642.182, 10140.1, 155.719
6, 2.01233, 0.0873162, 490.7, 30845.4, 203.79
7, 2.0462, 0.22861, 482.083, 7669.94, 207.433
8, 1.70478, 0.353337, 576.454, 4611.63, 173.474
9, 2.06501, 0.390179, 476.649, 3813.19, 209.798
10, 3.10663, 0.09173, 319.104, 20250.3, 313.378
11, 3.41242, 0.231621, 290.602, 4635.1, 344.114
12, 3.21887, 0.243669, 305.936, 4879.68, 326.866
13, 4.45986, 0.237802, 222.907, 3559.83, 448.617
14, 4.73055, 0.258014, 210.071, 3354.83, 476.03
15, 4.08915, 0.238255, 242.96, 3880.08, 411.59
16, 4.73235, 0.237183, 210.111, 3361.78, 475.938
17, 5.55899, 0.252086, 179.022, 2864.35, 558.591
18, 4.32737, 0.249035, 221.46, 3543.35, 451.55
19, 6.69611, 0.276045, 148.73, 2379.69, 672.357
20, 5.94554, 0.267912, 167.421, 2678.74, 597.296
21, 6.91787, 0.308968, 143.978, 2303.65, 694.549
22, 9.06434, 0.128198, 109.975, 6992.19, 909.3
23, 10.9753, 0.162944, 90.8828, 5778.33, 1100.32
24, 10.2502, 0.145182, 97.2825, 6185.22, 1027.93
25, 11.6762, 0.155346, 85.4325, 5431.8, 1170.51
26, 12.0697, 0.153715, 82.6367, 5254.04, 1210.12
27, 11.6288, 0.1391, 84.0394, 5343.22, 1189.92
28, 11.8383, 0.158958, 83.297, 5296.03, 1200.52
29, 11.1238, 0.143765, 89.5868, 5695.93, 1116.24
30, 14.2716, 0.174541, 69.8248, 4439.46, 1432.16
31, 12.0508, 0.147209, 82.389, 5238.29, 1213.75
32, 10.1472, 0.231115, 98.254, 3144.13, 1017.77
33, 12.5957, 0.21182, 79.2089, 2534.69, 1262.48
34, 11.9609, 0.219625, 83.3938, 2668.6, 1199.13
35, 10.3239, 0.201841, 96.5826, 3090.64, 1035.38
36, 13.5415, 0.258095, 73.6849, 2357.92, 1357.13
37, 12.5076, 0.252758, 79.5021, 2544.07, 1257.83
38, 13.6207, 0.287973, 73.239, 2343.65, 1365.39
39, 12.292, 0.251749, 81.1458, 2596.67, 1232.35
40, 13.6001, 0.2769, 73.3558, 2347.39, 1363.22
41, 17.5004, 0.381886, 57.0177, 1824.57, 1753.84
42, 14.1674, 0.322188, 69.9858, 2239.54, 1428.86
43, 15.8301, 0.297789, 62.5426, 2001.36, 1598.91
44, 14.7697, 0.317579, 67.1686, 2149.39, 1488.79
45, 16.5809, 0.363373, 60.0256, 1920.82, 1665.96
46, 17.2966, 0.388942, 57.7021, 1846.47, 1733.04
47, 17.5955, 0.326309, 56.7213, 1815.08, 1763.01
48, 18.4353, 0.347213, 53.7035, 1718.51, 1862.08
49, 19.2232, 0.411014, 51.9331, 1661.86, 1925.55
50, 16.0543, 0.31383, 62.145, 1988.64, 1609.14
51, 17.9347, 0.328746, 55.6582, 1781.06, 1796.68
52, 19.6684, 0.343207, 50.7566, 1624.21, 1970.19
53, 18.8273, 0.358973, 52.3795, 1676.14, 1909.14
54, 20.7863, 0.378106, 48.0308, 1536.99, 2082
55, 20.815, 0.369886, 47.9674, 1534.96, 2084.75
56, 18.7642, 0.401499, 53.1998, 1702.39, 1879.71
57, 17.0168, 0.321155, 58.0974, 1859.12, 1721.25
58, 22.824, 0.442581, 43.7437, 1399.8, 2286.04
59, 19.7561, 0.409018, 50.5325, 1617.04, 1978.92
60, 20.2044, 0.405723, 49.085, 1570.72, 2037.28
61, 21.0958, 0.44429, 47.3268, 1514.46, 2112.97
62, 24.0215, 0.445344, 41.5707, 1330.26, 2405.54
63, 21.3864, 0.4759, 46.6509, 1492.83, 2143.58
64, 26.5824, 0.29504, 36.9756, 2366.44, 2704.49
