number of threads, avg. time per generation, avg. time per cell, gen per second, cell per second, total execution time
1, 1.06313, 0.86426, 912.326, 912.326, 109.61
2, 1.10313, 0.0900492, 874.914, 16334.6, 114.297
3, 0.8154, 0.0909907, 1163.07, 21435.5, 85.979
4, 0.83968, 0.0955156, 1124.11, 20897.3, 88.959
5, 0.71298, 0.0963942, 1309.91, 24547.8, 76.341
6, 0.66236, 0.0960003, 1382.82, 25914, 72.316
7, 0.52466, 0.0904495, 1692.19, 31948.6, 59.095
8, 0.61162, 0.0980845, 1462.93, 27620.1, 68.356
9, 0.59424, 0.0962576, 1488.18, 28096.9, 67.196
10, 0.58232, 0.0952858, 1508.77, 28530.9, 66.279
11, 0.57466, 0.0950409, 1509.3, 28540.8, 66.256
12, 0.60086, 0.0970408, 1438.15, 27195.3, 69.534
13, 0.62403, 0.0994384, 1377.92, 26056.5, 72.573
14, 0.61482, 0.0987575, 1390.2, 26288.7, 71.932
15, 0.65558, 0.0999372, 1302.12, 24623, 76.798
16, 0.929061, 0.100066, 954.071, 18041.5, 104.814
17, 0.91954, 0.102863, 959.177, 18138, 104.256
18, 0.70822, 0.0965396, 1191.28, 22527.2, 83.943
19, 0.78939, 0.100953, 1079.37, 20507.9, 92.647
20, 0.7399, 0.099157, 1145.04, 21755.8, 87.333
21, 0.69592, 0.0995713, 1204.05, 22877, 83.053
22, 0.79445, 0.094938, 1076.91, 20461.3, 92.858
23, 0.71929, 0.100008, 1172.46, 22276.7, 85.291
24, 0.68292, 0.0992402, 1223.95, 23255, 81.703
25, 0.68817, 0.0992871, 1217.11, 23125, 82.162
26, 0.70014, 0.0999523, 1196.92, 22741.4, 83.548
27, 0.70649, 0.0997628, 1169.73, 22224.8, 85.49
28, 0.67338, 0.0971627, 1237.7, 23516.3, 80.795
29, 0.69254, 0.098387, 1206.91, 22931.4, 82.856
30, 0.69016, 0.0963181, 1214.24, 23070.6, 82.356
31, 0.67975, 0.099648, 1229.15, 23353.9, 81.357
32, 0.69616, 0.0971276, 1206.24, 22918.6, 82.902
33, 0.7151, 0.0984661, 1175.01, 22325.1, 85.106
34, 0.71608, 0.0997695, 1181.35, 22445.6, 84.649
35, 0.6843, 0.0993039, 1215.1, 23086.8, 82.298
36, 0.74503, 0.0999496, 1137.04, 21603.7, 87.948
37, 0.64109, 0.0955161, 1289.09, 24492.7, 77.574
38, 0.65974, 0.101834, 1266.77, 24068.6, 78.941
39, 0.74281, 0.0972744, 1140.04, 21660.8, 87.716
40, 0.72756, 0.0973369, 1163.83, 22112.8, 85.923
41, 0.72805, 0.0967091, 1156.93, 21981.6, 86.436
42, 0.73109, 0.101973, 1155.12, 21947.3, 86.571
43, 0.6895, 0.099617, 1211.02, 23009.4, 82.575
44, 0.77096, 0.0968439, 1107.08, 21034.5, 90.328
45, 0.68862, 0.0993929, 1211.74, 23023, 82.526
46, 0.70537, 0.100023, 1189.03, 22591.6, 84.102
47, 0.68447, 0.100923, 1220.41, 23187.7, 81.94
48, 0.69207, 0.0980886, 1210.54, 23000.2, 82.608
49, 0.72911, 0.0963412, 1164.39, 22123.4, 85.882
50, 0.70407, 0.098103, 1194.19, 22689.5, 83.739
51, 0.71157, 0.0991612, 1181.24, 22443.5, 84.657
52, 0.7315, 0.101356, 1150.7, 21863.2, 86.904
53, 0.70118, 0.101774, 1192.55, 22658.4, 83.854
54, 0.77294, 0.097147, 1106.93, 21031.7, 90.34
55, 0.78211, 0.0950055, 1086.32, 20640.1, 92.054
56, 0.7553, 0.0958544, 1132.27, 21513.2, 88.318
57, 0.83515, 0.104244, 1027.49, 19522.2, 97.325
58, 0.84649, 0.0967864, 1018.31, 19347.9, 98.202
59, 0.70835, 0.0970703, 1177.23, 22367.4, 84.945
60, 0.86822, 0.0980532, 999.76, 18995.4, 100.024
61, 0.87308, 0.103316, 991.277, 18834.3, 100.88
62, 0.73799, 0.100161, 1145.71, 21768.5, 87.282
63, 0.7886, 0.0975058, 1084.08, 20597.5, 92.244
64, 0.86393, 0.0964095, 996.8, 18939.2, 100.321
