number of threads, avg. time per generation, avg. time per cell, gen per second, cell per second, total execution time
1, 17.539, 14.7412, 55.9891, 55.9891, 1786.06
2, 10.3892, 7.53375, 93.3396, 186.679, 1071.36
3, 9.60007, 1.15847, 100.644, 1585.14, 993.602
4, 6.95374, 3.90013, 137.233, 548.933, 728.686
5, 7.47889, 1.16045, 127.827, 2018.39, 782.307
6, 8.13363, 0.463139, 117.86, 7408.67, 848.465
7, 6.59997, 1.15687, 143.785, 2287.63, 695.481
8, 5.51873, 2.08916, 169.687, 1357.5, 589.319
9, 5.73585, 2.15971, 163.888, 1311.1, 610.173
10, 6.65901, 0.463838, 140.703, 8929, 710.718
11, 5.97529, 1.1994, 157.633, 2514.24, 634.386
12, 6.55333, 1.20481, 144.592, 2306.24, 691.602
13, 5.23049, 1.15662, 177.758, 2838.8, 562.562
14, 6.36586, 1.1799, 147.836, 2360.95, 676.424
15, 5.02479, 1.15947, 184.167, 2941.15, 542.984
16, 4.60131, 1.16987, 199.941, 3199.05, 500.148
17, 4.52926, 1.15801, 202.465, 3239.44, 493.912
18, 4.55756, 1.16053, 201.056, 3216.9, 497.373
19, 4.49557, 1.16257, 203.27, 3252.32, 491.956
20, 4.53751, 1.15807, 201.338, 3221.4, 496.678
21, 4.41117, 1.16288, 205.999, 3295.98, 485.44
22, 5.09791, 0.469276, 180.585, 11481.6, 553.756
23, 4.97184, 0.463516, 184.294, 11717.4, 542.611
24, 5.0298, 0.467068, 182.346, 11593.6, 548.407
25, 5.00382, 0.463748, 182.737, 11618.4, 547.234
26, 5.33196, 0.469598, 172.209, 10949, 580.691
27, 4.94168, 0.466094, 184.352, 11721.1, 542.44
28, 4.86336, 0.466669, 187.056, 11893, 534.598
29, 4.86347, 0.469548, 186.986, 11888.6, 534.799
30, 4.8624, 0.466314, 186.523, 11859.1, 536.128
31, 5.2377, 0.472951, 173.936, 11058.8, 574.925
32, 4.55581, 0.700339, 197.642, 6324.55, 505.965
33, 4.59685, 0.700746, 195.724, 6263.16, 510.924
34, 4.50624, 0.697471, 198.99, 6367.67, 502.539
35, 4.64277, 0.698915, 193.041, 6177.32, 518.024
36, 8.35706, 0.703035, 111.669, 3573.42, 895.5
37, 4.71274, 0.701294, 190.299, 6089.58, 525.488
38, 4.59384, 0.69949, 194.411, 6221.15, 514.374
39, 4.66061, 0.703263, 192.095, 6147.04, 520.576
40, 4.79105, 0.70791, 186.778, 5976.91, 535.394
41, 4.73497, 0.702256, 189.315, 6058.07, 528.221
42, 4.81079, 0.700065, 185.546, 5937.48, 538.949
43, 4.73292, 0.699755, 188.496, 6031.87, 530.515
44, 4.83222, 0.702976, 184.407, 5901.02, 542.279
45, 5.07514, 0.700832, 176.837, 5658.8, 565.491
46, 5.00706, 0.708688, 178.234, 5703.5, 561.059
47, 8.39418, 0.716421, 111.235, 3559.53, 898.996
48, 5.54359, 0.70532, 160.648, 5140.74, 622.478
49, 5.71929, 0.698317, 157.03, 5024.98, 636.819
50, 5.10391, 0.708491, 174.697, 5590.29, 572.421
51, 5.04234, 0.697558, 176.368, 5643.77, 566.997
52, 5.39613, 0.716188, 165.529, 5296.93, 604.124
53, 5.37676, 0.696788, 164.714, 5270.85, 607.113
54, 5.2239, 0.698725, 168.794, 5401.42, 592.437
55, 8.58433, 0.718416, 107.848, 3451.14, 927.229
56, 9.113, 0.708862, 101.854, 3259.32, 981.8
57, 8.90216, 0.705706, 104.282, 3337.04, 958.934
58, 5.2309, 0.701856, 168.159, 5381.08, 594.676
59, 5.4462, 0.696665, 163.17, 5221.44, 612.858
60, 5.32459, 0.702663, 165.608, 5299.44, 603.837
61, 6.33739, 0.709696, 140.986, 4511.55, 709.29
62, 8.41759, 0.706186, 109.274, 3496.77, 915.13
63, 7.3259, 0.70339, 123.945, 3966.25, 806.808
64, 7.79484, 0.473269, 117.14, 7496.98, 853.677
